topic_area,grants,share
Soc/Beh,107,0.234
ECE,76,0.166
Policy,71,0.155
Reading/Writing/Literacy,63,0.138
STEM,48,0.105
Postsecondary,44,0.096
Other,43,0.094
Unclassified,5,0.011
