grant_id,doi,award_year,pub_year,reason
R324A090179,10.1007/s11423-007-9069-y,2009,2007,publication dated before grant award year (pre-award)
R305K050157,10.1016/j.ecresq.2004.01.014,2005,2004,publication dated before grant award year (pre-award)
R324A110079,10.1037/a0013842,2011,2009,publication dated before grant award year (pre-award)
R305A090019,10.1111/j.1468-0386.2008.00415.x,2009,2008,publication dated before grant award year (pre-award)
R324A140005,10.1177/019874290402900407,2012,2004,publication dated before grant award year (pre-award)
R305A170529,10.1177/0731948714565461,2017,2015,publication dated before grant award year (pre-award)
R305A100047,10.1186/1748-5908-4-50,2010,2009,publication dated before grant award year (pre-award)
R324S060043,10.2511/rpsd.30.3.168,2006,2005,publication dated before grant award year (pre-award)
